id,category
1,Black Wood
2,Vinayagar
3,Photo Frame
4,Pooja Items
5,Mala
6,Bracelet
7,Rudraksha
8,Vasthu
9,Yantra
10,Brass
11,Vettiver
12,Silver
13,General
14,Murugan
15,Sangu
16,Lamp
17,Panchalogam
18,Lingam
19,Amman Statue
20,Discounted Products
21,Combo Offer
22,Pooja Things
23,vesti
24,Panchaloga Statue
25,Panchaloga Ring
26,Stock Category
27,Buddha
28,Radium
29,Decorative
30,Horse Photo Frame
31,Murugan Photo Frame
32,Radha Krishna Photo Frame
33,Amman Photo Frame
34,test
35,test seqdeqw
36,BlackWood Statues
37,Rasi Energy Bracelet
38,Aanmeegam Tamil Books
39,Wooden
40,Akshaya Tritiya Special
41,Copper Statue
